,quote,class,good_or_bad
2066,كلم خرج قلب وقع قلب خرج لسن جوز اذن,حِفظِ اللسانُ,0
2067,لسن امر بدن جنى عضء شيئ جنت عفا عفت,حِفظِ اللسانُ,0
2068,عجب شخص سلح عقل وليس لسن ضرب قضي صمت وليس كثر كلم,حِفظِ اللسانُ,0
2069,عضء جسم بشر يصب رهق لسن,حِفظِ اللسانُ,0
2070,نهش اسن نهش لسن,حِفظِ اللسانُ,0
2071,فما اقل ولي لسن وقد نطق زمن بلا لسن,حِفظِ اللسانُ,0
2072,بلء انس لسن,حِفظِ اللسانُ,0
2073,لنت كلم وجب حبت,حِفظِ اللسانُ,0
2074,كلم فضة سكو,حِفظِ اللسانُ,0
2075,لسن حصن صنت صنك خنت خنك,حِفظِ اللسانُ,0
2076,كلم بحذ تمل خرج لكت,حِفظِ اللسانُ,0
2077,صمت حكم قلل فعل,حِفظِ اللسانُ,0
2078,سبك غيب هبك حضر,حِفظِ اللسانُ,0
2079,كلم يجب توز تعد,حِفظِ اللسانُ,0
2080,حذر لسن انس لدغ ثعب,حِفظِ اللسانُ,0
2081,لسن داء دوء,حِفظِ اللسانُ,0
2082,حدث بلا عنى سفه,حِفظِ اللسانُ,0
2083,هدم وقت بني هدم لسن بنى,حِفظِ اللسانُ,0
2084,فضل كلم فإن ظهر عيب بطن يحر عدك سكن,حِفظِ اللسانُ,0
2085,عثر رجل عثر بلس,حِفظِ اللسانُ,0
2086,كثر كلم يقل قمك,حِفظِ اللسانُ,0
2087,طعة لسن ندم,حِفظِ اللسانُ,0
2088,صغر لسن نفع ضرر,حِفظِ اللسانُ,0
2089,شتم تعب صحب,حِفظِ اللسانُ,0
2090,كتم سره جهل عده,حِفظِ اللسانُ,0
2091,لسن افة انس,حِفظِ اللسانُ,0
2092,جرح لسن كجرح الد,حِفظِ اللسانُ,0
2093,سمع يقل تقل سمع,حِفظِ اللسانُ,0
2094,لسن عدو انس,حِفظِ اللسانُ,0
2095,تتر لسن قطع عنق,حِفظِ اللسانُ,0
2096,عقل حسن سمع وطل صمت,حِفظِ اللسانُ,0
2097,زلة لسن تقل,حِفظِ اللسانُ,0
2098,حرب اول كلم,حِفظِ اللسانُ,0
2099,لسن فتح خير لشر,حِفظِ اللسانُ,0
2100,وأن ضرب لسن عنق,حِفظِ اللسانُ,0
2101,شيء اط لسن قلب اب وليس شيء بث منه,حِفظِ اللسانُ,0
2102,قلب حمق ولس عقل قلب,حِفظِ اللسانُ,0
2103,جمل لسن كمل عقل,حِفظِ اللسانُ,0
2104,كذب لسن يقل يقل وأن يقل فعل كذب قلب عقد فعل,حِفظِ اللسانُ,0
2105,لسن سلب قوة عشواء كتب فهي فعل ضمن ارخ,حِفظِ اللسانُ,0
2106,سمع عبر بد نطق لسن حال لسن قال,حِفظِ اللسانُ,0
2107,يفض قلب يقل لسن,حِفظِ اللسانُ,0
2108,اذا عجز قلب حوء صدق عجز لسن قول لحق,حِفظِ اللسانُ,0
2109,خرج كلم قلب دخل قلب خرج لسن جوز اذن,حِفظِ اللسانُ,0
2110,يجب ضبط لسن عصب نفس شعر,حِفظِ اللسانُ,0
2111,مرء أصغر قلب ولس,حِفظِ اللسانُ,0
2112,شيء اطب لسن طاب خبث خبث,حِفظِ اللسانُ,0
2113,قال رأس سان دمت جري فلن عرف رحة حيت,حِفظِ اللسانُ,0
2114,اشد ناس بلء أكثر عنء لسن طلق قلب طبق فهو تطع يسك حسم كلم,حِفظِ اللسانُ,0
2115,حمد بلغ صمت كلم,حِفظِ اللسانُ,0
2116,كلم كلم لكت كلم لكت,حِفظِ اللسانُ,0
2117,كتم سره خير بيد,حِفظِ اللسانُ,0
2118,سكت علم رضا,حِفظِ اللسانُ,0
2119,صدر حرر قبر سرر,حِفظِ اللسانُ,0
2120,خير كلم قل ودل,حِفظِ اللسانُ,0
2121,صدر وسع لسر,حِفظِ اللسانُ,0
2122,كلم عسل وخز اسل,حِفظِ اللسانُ,0
2123,طلق قول بصر لسن مأم ضرر,حِفظِ اللسانُ,0
2124,حفظ لسن تق فت تلى بلء وكل نطق,حِفظِ اللسانُ,0
2125,يكن لسر كتو يلم كشف ندي,حِفظِ اللسانُ,0
2126,لسن فتى عقل رجم زل عقل مرء زل لسن,حِفظِ اللسانُ,0
2127,كلم يمك خفف قلب انس ترح صمت وحد قدر فعل,حِفظِ اللسانُ,0
2128,هدء نعم وفي صمت حية اثن فصل يدر,حِفظِ اللسانُ,0
2129,سر جوز اثن شاع,حِفظِ اللسانُ,0
2130,صمت علم صعب كلم,حِفظِ اللسانُ,0
2131,تكون عمر يصم اطل عمر كلم,حِفظِ اللسانُ,0
2132,تكل وأن غضب تقل عظم حدث ندم طول حيت,حِفظِ اللسانُ,0
2133,جمل صمت لحظ لحظ خفي حرف تضع كلم طير ورق تكس قلم,حِفظِ اللسانُ,0
2134,جرح احد ام تصم وإم تقل قول لجم,حِفظِ اللسانُ,0
2135,ثرثر تفد لكن سعد صمت أكد وجد احا,حِفظِ اللسانُ,0
2136,خبر كلم حدث,حِفظِ اللسانُ,0
2137,صمت بلغ كلم,حِفظِ اللسانُ,0
2138,سكت سلم,حِفظِ اللسانُ,0
2139,صمت لغة الع ظمء,حِفظِ اللسانُ,0
2140,قلة كلم جلب همم,حِفظِ اللسانُ,0
2141,مثل حكم غرب جار,حُسن العِشرةِ والجوارُ,0
2142,حاديث جار,حُسن العِشرةِ والجوارُ,0
2143,كـرهــ جـر غــيـ ـر بـب درك,حُسن العِشرةِ والجوارُ,0
2144,روؤ عفف إصلاح حال حفظ اخو وإع جير,حُسن العِشرةِ والجوارُ,0
2145,جار قرب خير لأخ بعد,حُسن العِشرةِ والجوارُ,0
2146,جار سيء يعط ابر خيط,حُسن العِشرةِ والجوارُ,0
2147,ـأل عــ ـجــار قــبـل ــدار,حُسن العِشرةِ والجوارُ,0
2148,جـر جـر لـو جـر,حُسن العِشرةِ والجوارُ,0
2149,حــق ـجـارعـلى ـجـار جـــب,حُسن العِشرةِ والجوارُ,0
2150,جرك ـخـيـر أنـ ـخـيـر,حُسن العِشرةِ والجوارُ,0
2151,احب جرك هدم جدر فصل بين,حُسن العِشرةِ والجوارُ,0
2152,ثقف تخف نفس هجم قط جير ثقف فئر,حُسن العِشرةِ والجوارُ,0
2153,اغض طرف بدت جرت يري جرت أوا,حُسن العِشرةِ والجوارُ,0
2154,عدى جره دل لؤم نجر,حُسن العِشرةِ والجوارُ,0
2155,يرم شوك جره يره ينب حدق,حُسن العِشرةِ والجوارُ,0
2156,حرق نزل جرك فإن قصد,حُسن العِشرةِ والجوارُ,0
2157,حمل جندل حدد وكل شيء ثقل فلم حمل شيئ ثقل جار سوء وذق رار فلم اذق شيئ امر فقر,حُسن العِشرةِ والجوارُ,0
2158,لده جار طيب باع زله سعر غلى,حُسن العِشرةِ والجوارُ,0
2159,دار جار سوء صبر تجد فما حلى نقل,حُسن العِشرةِ والجوارُ,0
2160,يقض حق جار ابن عمه صحب دنى قرب بعد يعش سيد عذب ناس ذكر نبه حق اته قصد,حُسن العِشرةِ والجوارُ,0
2161,جار دار رفق طرق,حُسن العِشرةِ والجوارُ,0
2162,كرم جار ورع حقه عرف فتى لحق كرم,حُسن العِشرةِ والجوارُ,0
2163,جار سوء يوم جره عدت فضل وزر,حُسن العِشرةِ والجوارُ,0
2164,جار متز فإن يمل كنز ثمي,حُسن العِشرةِ والجوارُ,0
2165,حرب عيب وفي سلم جير ودع عام جدد يجد رجل فضل,حُسن العِشرةِ والجوارُ,0
2166,فعل نفس فعل جير أنفس أظهر سرر,حُسن العِشرةِ والجوارُ,0
2167,فعل فعل جير لهي قعد وحد عقل,حُسن العِشرةِ والجوارُ,0
2168,تتر فضل لتك وحد ارس سيك جير,حُسن العِشرةِ والجوارُ,0
2169,حقق ثير يكف أولئ عمد شخص وحا جير لهو أكمل,حُسن العِشرةِ والجوارُ,0
2170,ركد قصد عند فقد جرك وظف كسد فهو عند يأت دور,حُسن العِشرةِ والجوارُ,0
2171,حكم أمثال عرب,السكينةُ,0
2172,جمل حكم عرب,السكينةُ,0
2173,قال حسن بصر ستح طول الا ستح,السكينةُ,0
2174,اذا قبل دنا عرت حسن غير دبر عنه سلب حسن نفس علي بن ابي طلب,السكينةُ,0
2175,قال علي بن ابي طلب كرم الل وجه خلف نفس سرح,السكينةُ,0
2176,تكل حسن خير الل يتم خار الل,السكينةُ,0
2177,قال علي بن ابي طلب كرم الل وجه زهد ناس طلب علم يرن قلة نفع,السكينةُ,0
2178,صطفى رفع يضع شرق ضعف قوة كثر ضيع ضعف بصر,السكينةُ,0
2179,قال عثم بن عفن رضي الل عنه يكف حسد انه غتم يوم سرر,السكينةُ,0
2180,قال عمر بن خطب رضي الل عنه كتم سره خير يده,السكينةُ,0
2181,قال عمر بن خطب رضي الل عنه اتق بغض قلب,السكينةُ,0
2182,خير كلم قل وجل ودل ولم يمل,السكينةُ,0
2183,امر شهد دول سره زمن سءت ازم,السكينةُ,0
2184,نظر قرب,السكينةُ,0
2185,حدث تقع يأس غلق بوب ظهر طرق سري عرف,السكينةُ,0
2186,فكم فرد شعر وحد وكم جمع ولك وحد وحد وحد وجد ابد,السكينةُ,0
2187,تجد سكن عند خلى حجة جذب نبه اخر حجة إثب شيء لأي شخص,السكينةُ,0
2188,احب شخص قوياء وخص تكم قوت رقت عطف,السكينةُ,0
2189,شيئ جعل حية عنى تؤم بقض وأن تحب شخص,السكينةُ,0
2190,جهر خلق فضح عشر,السكينةُ,0
2191,كرم نفس دنء,السكينةُ,0
2192,فكر سنة كلم ثني,السكينةُ,0
2193,حفظ لسن انس لدغ ثعب,السكينةُ,0
2194,لله در حسد عدل بدأ صحب قتل,السكينةُ,0
2195,لعز نصي خيل,السكينةُ,0
2196,غام شرف روم قنع نجم,السكينةُ,0
2197,وإن مرء حدث بعد فكن حدث حسن لمن يرى,السكينةُ,0
2198,اكل دهر شرب,السكينةُ,0
2199,افة عقل هوى علا هوه عقل فقد نجا,السكينةُ,0
2200,جود نفس قصى غية جود,السكينةُ,0
2201,حمل فقر فضل حمل لذل لأن صبر فقر قنع صبر لذل ضرع,السكينةُ,0
2202,يكن الأ ركب رأي ضطر ركب,السكينةُ,0
2203,فلك سعي وصل,السكينةُ,0
2204,يجز ربا لحب فم عطك حب رد ضعف,السكينةُ,0
2205,حتج فرح قدر حتج سكن,السكينةُ,0
2206,يمكن لأي شخص خار وهج لكن أختار طفىء أكد بأن رأت نور غير أختار عتم,السكينةُ,0
2207,دهر يوم يوم ويم بطر صبر فكل يمر,السكينةُ,0
2208,اخك صدق نصح,السكينةُ,0
2209,بتر يعن يتم يعن,السكينةُ,0
2210,قلل رزق سلم نفس متع كثر وجع,السكينةُ,0
2211,اخك اخك اخا ساع هيج بغر سلح,السكينةُ,0
2212,فضل عقل ادب اصل حسب,السكينةُ,0
2213,ايم صعب خرج رجل قوياء رجل قوياء صنع رخء ترف رخء خرج رجل ضعفاء رجل ضعفاء صنع ايم صعب,السكينةُ,0
2214,ظلم قدر قدر,السكينةُ,0
2215,شعب قهر وء خلق,السكينةُ,0
2216,كنت بحث كمل فأن بحث لحب لأن عجز لحب تكم عشق عيب,السكينةُ,0
2217,جزء سيمفونية كون تكون تمع عزف,السكينةُ,0
2218,دوم ويل قط بدو,السكينةُ,0
2219,الح زيد الح فلذ ون هجر غضب لكن جعل الح شفء اله جر لغض,السكينةُ,0
2220,علم أخذ بعد ذتك اسأ جهل,السكينةُ,0
2221,خطب ناس قدر عقل,السكينةُ,0
2222,تكن كتب تفد غير فكن قرئ تفد نفس,السكينةُ,0
2223,هاب سبب منا ينل رام سبب سمء سلم,السكينةُ,0
2224,نفع خيل كرم قنا يكن كرم كرم,السكينةُ,0
2225,عذ حسد احس الي,السكينةُ,0
2226,بلغ رأي شور ستع برأ نصح نصح حزم,السكينةُ,0
2227,قبل موت خير استدباره,السكينةُ,0
2228,خفء علم هلك إخفاء عمل نجة,السكينةُ,0
2229,فضل طرق غلب صعب قحم,السكينةُ,0
2230,تفد عبر يمه عمى ولى هدى,السكينةُ,0
2231,مرء يضع نفس,السكينةُ,0
2232,دعت الل رزق رحة بال غرب هجر ناس,السكينةُ,0
2233,ترد يأت بدن ذهب اله,السكينةُ,0
2234,تعل فني فني فنه تعل فني بقي بقه,السكينةُ,0
2235,الأ ام تط الك ثير الص بر ولص مت,السكينةُ,0
2236,ويأ يوم فرح وكأ حمل لهم يوم,السكينةُ,0
2237,اهم سفر كان سفر وجد دخل فما نفع بدل اما وأن,السكينةُ,0
2238,شخص خطف نفس نفس سحق لحب,السكينةُ,0
2239,لكل ليل قمر ليل أعماق,السكينةُ,0
2240,تطع ترى نفس قلب شخص اخر,السكينةُ,0
2241,مدح مرأ جرب تذم جرب,السكينةُ,0
2242,اشد كسل انه جعل عمل وحد كأن عمل كثر,السكينةُ,0
2243,عش عزز مت وأن كرم,السكينةُ,0
2244,غبن صدق نذل,السكينةُ,0
2245,الص يت غنى,السكينةُ,0
2246,مجد لتي واعتقادي نوح باك رنم شاد,السكينةُ,0
2247,سيف اهل رى سلل,السكينةُ,0
2248,حك جلد ظفر فتل امر,السكينةُ,0
2249,ذل سيف,السكينةُ,0
2250,تخش عقب ليل ستح صنع تشء,السكينةُ,0
2251,قصر يدك كفأ يصل لسن شكر,السكينةُ,0
2252,رأت نيب ليث برز تظن ليث بسم,السكينةُ,0
2253,رفق الت اج لبس بعض كقديم الن ترم,السكينةُ,0
2254,سيف صدق باء كتب حده لحد لجد لعب,السكينةُ,0
2255,صبر عقب حلة,السكينةُ,0
2256,كنت امر عتب صدق تلق عتب,السكينةُ,0
2257,قدر اهل عزم تأت عزم تأت قدر كرم كرم,السكينةُ,0
2258,حك جلد ظفر ولى امر,السكينةُ,0
2259,فرط وضع جلب ذلة,السكينةُ,0
2260,كرم كرم لكت كرم لئم مرد,السكينةُ,0
2261,كنت رأي فكن عزم فسد رأي ردد,السكينةُ,0
2262,لأستسهلن صعب ادر منى فما قاد امل صبر,السكينةُ,0
2263,حسب علم نفع وحد يتج ربه خلق,السكينةُ,0
2264,عرف كنز رفع صحب ابن,السكينةُ,0
2265,الم نبت ارض قطع ظهر بقى,السكينةُ,0
2266,بعض مي لة اسد,السكينةُ,0
2267,نفس جدد,السكينةُ,0
2268,شبب يعد يوم أخبر فعل شيب,السكينةُ,0
2269,حسب مجد تمر اكل بلغ مجد لعق صبر,السكينةُ,0
2270,جبن حت فوق,السكينةُ,0
2271,اخك لحق سعى معك يضر نفس نفع,السكينةُ,0
2272,صمت صوت لكن بحج روح فهم,السكينةُ,0
2273,شعر وحد لأن معك لأن معك,السكينةُ,0
2274,صدف انس حقق تضع تدع يغب افق روح,السكينةُ,0
2275,عبر هدء,السكينةُ,0
2276,كلم هدء,السكينةُ,0
2277,ضمر هدئ طرق انس هدئ,السكينةُ,0
2278,كنت هدأ مم يجب تعد حيا,السكينةُ,0
2279,وعد لحب كنز بحر نسى هدء عصف,السكينةُ,0
2280,رفع درج قيد بشر عرف سار ظرف خلق سكن هدء دخل رغم عصف خرج,السكينةُ,0
2281,حدث ناس عرفو فقط لسد هدء اما كثر,السكينةُ,0
2282,لحظ خلة أمل حقق هدء وزن ركز دفع نفس قوة هئل وصل طرق,السكينةُ,0
2283,عند دخل نقش حفظ هدء عصب طقك سلي فسف يعت نفس,السكينةُ,0
2284,انس شعر هدء وقف خوف عند تخل اسأ يمكن حدث قنع نفس بأن حيت نهي,السكينةُ,0
2285,تطع قلب يعش هدء,السكينةُ,0
2286,وجه هدء غرب مثل شيخوخ بعد ساف حكم نهي طاف,السكينةُ,0
2287,ارد ليل قصر ؤطر هدء نهي بمت يعن احد,السكينةُ,0
2288,وقت لأصدقائك بعض وقت أهل بعض هدء نفس بعد تخف قبل,السكينةُ,0
2289,تظن هدء تره وجه يدل رضا لكل انس شيء دخل يهز عذب,السكينةُ,0
2290,نظر جزء ملء كأس بمت عمل هدء ملء نصف فرغ,السكينةُ,0
2291,جدر نقل نجح قدر هدء رسل عدم كلف,السكينةُ,0
2292,بحج سكن هدء حظت حرق بكء بحج كتب غنء صرخ بوج كون بحج أفهم أكتب ولأ بحج أخطط أفكر أقرأ أحب قلم,السكينةُ,0
2293,لطف حزن فضح عصف هدء ذكر سدع وجع,السكينةُ,0
2294,فهم مني مدى صعب حفظ شخص هدء عصب وقت عصف حية وجه,السكينةُ,0
2295,فكر هدئ فكر بلغ قصى درج هدء وخر قرر يئس,السكينةُ,0
2296,حاج شعر رضا طقة دين هدء بلد,السكينةُ,0
2297,بثق عمق ضحك نعش ضحك حلق بعد كفقاع صاب فجر هدء ترك ورء ذيل ذهب وهج ذكر خلد ذكر ككب سمر سعة كمل كنت خلل كتم فاس,السكينةُ,0
2298,ضوء ظلم وكن هدء وسط عصف وكن سلم دلع حرب,السكينةُ,0
2299,عين حلم عين يوم نعس أرى هدء بحر شرق شمس,السكينةُ,0
2300,ليل حول هدء وصم قتل ذكر تمر وجد يهد ني الم أنشد رحت ايت قرآ,السكينةُ,0
2301,سخف عتقد انس بحث هدء حقق ذته عكس تما إنس بحث صخب فعل يجد صخب صنع نفس,السكينةُ,0
2302,عرف كثر الط لاع اثر هدء انس برد واحتماله وقد ترس لده حكم وشء طمأ صدر وعي جرب يأس,السكينةُ,0
2303,هدء سلب راق عرف بشر,السكينةُ,0
2304,صعب جدا فهم انس بحث سلم هدء وسط زحم وسط لكم كبر ناس وضى,السكينةُ,0
2305,يكون رجل اقى هدء عصب قدر وجه شكل تخذ قرر,السكينةُ,0
2306,هدء نعم وفي صمت حية اثن فصل يدر,السكينةُ,0
2307,هدء زئد اسأ تحل غيم ثقل صمت يمس زعق دخل سمع طفو سطح صوت صوت,السكينةُ,0
2308,لوع يلي دوم عيد عيد صحب وقت سكن صمت هدء,السكينةُ,0
2309,سبل هدء صمت صدر عمق,السكينةُ,0
2310,ضجج يطر كفة نبر هدء عقل نبر,السكينةُ,0
2311,هدء حاج كثر ضجج يكف إتق ملك وهب صرخ,السكينةُ,0
2312,بحث رحة كان هدئ خطئ هدء يرح عكس رهق عصب عقل ضجج لرح حقق راح نفس تجد شغل عنه,السكينةُ,0
2313,عرف عصف ضجج سأم هدء,السكينةُ,0
2314,تدع هدء بين عقل حفل ضجج صخب,السكينةُ,0
2315,خلص ريد بسط انم هدء بعد حية صخب ليئ ضجج,السكينةُ,0
2316,كبر صدر ضجج جمع تكف جمع ركز هدء حول روح ركز نيا,السكينةُ,0
2317,يقل شعر حمد غدد قصد هدء,السكينةُ,0
2318,حكم أمثال صبر,السترُ,0
2319,عبر صبر,السترُ,0
2320,وجد الم صبر وجد صبر فضل,السترُ,0
2321,تعس يمل شيئ صبر,السترُ,0
2322,نصر صبر فرج كرب عسر يسر,السترُ,0
2323,يعن صبر حمل صعب سلب يعن تكون بعد نظر بحث تثق نتج نهي صبر,السترُ,0
2324,يعن صبر يعن نظر شوك ترى ورد نظر ليل ترى فجر,السترُ,0
2325,عشق الل نفد صبر طلق لأن عرف انه صبح هلل بدر فهو حاج وقت,السترُ,0
2326,صبر سلم بأن امر مكن حقق ريب خلف تظن عقل,السترُ,0
2327,قلل عقل سلم قلل صبر قلل حس نكت يمك عيش سلس كوكب,السترُ,0
2328,صبر صبر ضيق تسع,السترُ,0
2329,اهم شيء حية صبر الح الح يمكن سمر طول,السترُ,0
2330,يأت سلم الن هية لكن يأت نفذ صبر,السترُ,0
2331,فقد صبر قنديل بلا زيت,السترُ,0
2332,نبغ تؤم بأن فرد قبل علم صبر,السترُ,0
2333,برت قلم وأن أجر زعت قلم وأن أزر,السترُ,0
2334,صبر ايم نزل رأس جسد رأس بار جسم قال ايم لمن صب,السترُ,0
2335,صبر مطي كبو,السترُ,0
2336,صيب وحد احب فهم اثن يعن الم اب وف الث واب,السترُ,0
2337,نعم الل عبد نعم نزع وع ضه برا ال ضه فضل نتز,السترُ,0
2338,فضل عيش ادر صبر صبر رجل لكن كرم,السترُ,0
2339,فما صبر وم جزع فما يتم,السترُ,0
2340,صبر صيب يسم ايم صبر اكل يسم قنع صبر حفظ لسر يسم كتم صبر صدق يسم وفء,السترُ,0
2341,سهل حدث صبر عند تكون صيب صيب,السترُ,0
2342,علم صبر فلس يوم رئع حية دائ منى,السترُ,0
2343,صبر نظر نظر سلب فهذ كسل رار مضي امم عند يكون رار صعب بطئ فهذ صبر عتى حرب صبر وقت,السترُ,0
2344,ارا نفذ خبز ماء وقد ارا نفذ صبر,السترُ,0
2345,وهم نصف داء طمئ نصف دوء صبر خطو شفء,السترُ,0
2346,صبر ولى وقر فتى قلق يهت ستر وقر,السترُ,0
2347,صبر فلس اجر صبر دهر دهر يخل خطب,السترُ,0
2348,دوء دهر صبر,السترُ,0
2349,يجب نعط وقت وقت,السترُ,0
2350,تقع شجر ضرب فأس,السترُ,0
2351,فضل خلق مرء صبر,السترُ,0
2352,ثمر نجح تأت صبر طول,السترُ,0
2353,صبر لله غنء صبر بلل بقء صبر الل وفء صبر الل جفء,السترُ,0
2354,صبر صيب عبد,السترُ,0
2355,صبر شجر جذر مرة ثمر شهة,السترُ,0
2356,نال,السترُ,0
2357,صبر فتح جنة,السترُ,0
2358,صبر جمل شكى صفح جمل اذى هجر جمل عتب,السترُ,0
2359,لمح حلو عفي هنت رار صبر,السترُ,0
2360,صبر فضل علج حزن,السترُ,0
2361,تقم تقى ساق صبر,السترُ,0
2362,يتق صبر يمك اتق شيء اخر,السترُ,0
2363,يقل ابن درج قسطل,السترُ,0
2364,قرأ,الزهد فيما في أيدي الناسُ,0
2365,جمل قول,الزهد فيما في أيدي الناسُ,0
2366,جمل رسل لحب,الزهد فيما في أيدي الناسُ,0
2367,قال علي زهد دنا هنت صئب,الزهد فيما في أيدي الناسُ,0
2368,قال ثور زهد دنا قصر امل,الزهد فيما في أيدي الناسُ,0
2369,قال علي زهد زهد حرم,الزهد فيما في أيدي الناسُ,0
2370,قال سلم زهد شغل الل وقل شغل الل مال أهل فهو شؤم,الزهد فيما في أيدي الناسُ,0
2371,قال حسن زهد دنا يرح قلب بدن,الزهد فيما في أيدي الناسُ,0
2372,قال ابن حنف كرم نفس يكن دنا عند قدر,الزهد فيما في أيدي الناسُ,0
2373,قال ثور زهد دنا زهد ناس,الزهد فيما في أيدي الناسُ,0
2374,قال الك بلغ انه زهد دنا تقى نطق حكم,الزهد فيما في أيدي الناسُ,0
2375,قال فضل حرم قلب تصب حلو ايم زهد دنا,الزهد فيما في أيدي الناسُ,0
2376,قال دود كانت جلس حمد بن حنبل جلس اخر ذكر شيء امر دنا رأت ذكر دنا قط,الزهد فيما في أيدي الناسُ,0
2377,قال ابن سعد أصحاب صلة وصو جهد صحب حمد وهم كان خير نكم قال قال كان زهد نكم دنا أرغب نكم اخر,الزهد فيما في أيدي الناسُ,0
2378,رأس وضع تضع نفس نعم دنا انه بدن فضل وأن رفع نفس عم فوق فى دنا انه بدن فضل,الزهد فيما في أيدي الناسُ,0
2379,وقل عبد الل بن برك وضع قال تكب غنياء,الزهد فيما في أيدي الناسُ,0
2380,قنع لسع قصد بلغ زهد لرح لكل عمل اجر وكل ات قرب,الزهد فيما في أيدي الناسُ,0
2381,يجب يعش غنياء بسط تطع قرء يعش,الزهد فيما في أيدي الناسُ,0
2382,عش كأن تمو علم كأن تعش ابد,الزهد فيما في أيدي الناسُ,0
2383,زهد دنا يرح قلب بدن,الزهد فيما في أيدي الناسُ,0
2384,فقه زهد دنا رغب اخر,الزهد فيما في أيدي الناسُ,0
2385,ابن ادم بع دنا آخر ربح جمع تبع اخر بدن خسر جمع ثوء قلل بقء طول,الزهد فيما في أيدي الناسُ,0
2386,زهد دنا رحة قلب بدن رغب ورث لهم حزن,الزهد فيما في أيدي الناسُ,0
2387,فضل شيء حية تتر أدب شا,الزهد فيما في أيدي الناسُ,0
2388,نظر دنا نظر زاهيد فإن قلل تزل سكن فجع ترف تغر,الزهد فيما في أيدي الناسُ,0
2389,زهد فرغ الد دنا زهد فرغ قلب دنا,الزهد فيما في أيدي الناسُ,0
2390,زهد رفه فرغ جعل قرأ وحد ظرف دفع عرف,الزهد فيما في أيدي الناسُ,0
2391,زهد حرم حلل بتر طيب جرد قلب روح حظظ نفس,الزهد فيما في أيدي الناسُ,0
2392,زهد غلب حرم صبر حلل شكر,الزهد فيما في أيدي الناسُ,0
2393,زهد صرف نفس شهة,الزهد فيما في أيدي الناسُ,0
2394,يكون زهد ورع ورع زهد هان حاج,الزهد فيما في أيدي الناسُ,0
2395,زهد نعم الل عظمى وابتلائه عظم,الزهد فيما في أيدي الناسُ,0
2396,زهد تمل شيئ يمل شيء,الزهد فيما في أيدي الناسُ,0
2397,كلم رحم,الرحمةُ,0
2398,كلم جمل رحم الل عبد,الرحمةُ,0
2399,توش سقط تجد شرة تدل انه سقط وإن كانت رحم الل علم تقف,الرحمةُ,0
2400,جور عبد جعل ذكر لطف رحم رب ربب,الرحمةُ,0
2401,ثمر غير خلط رحم,الرحمةُ,0
2402,انس يمك يعش بلا اب ولك يمك بدن رحم الل,الرحمةُ,0
2403,كبر تأم مكر الل وأن قنط رحم الل وأن يأس روح الل,الرحمةُ,0
2404,طبع نفس خفي انس حقق رحم عطف قوم نفس,الرحمةُ,0
2405,نقل بخل الى رحم الل وتر مال وخذ معه رقم حسب عنه,الرحمةُ,0
2406,نثق دائ بأن شيئ الل كله رحم,الرحمةُ,0
2407,اخر بعض شوك حلق بعض رحم,الرحمةُ,0
2408,يجب نبك صدقائ انه رحم فقد موت فقد وهم حيء,الرحمةُ,0
2409,موت يسر معه رحم خير الي وطل بقء,الرحمةُ,0
2410,رحم خير عدل,الرحمةُ,0
2411,خطأ تكون امر كثر همي رحم امر اقل همي,الرحمةُ,0
2412,بشر يجد ابر حنى علي الل عز وجل,الرحمةُ,0
2413,ارد رحم ناس بدأ رحم شيء انس اول,الرحمةُ,0
2414,تمش ناس رحم عمل إنصاف,الرحمةُ,0
2415,دين فضل نسب حول حكم سيراكوسا بنء دين فلط اما طرق فهو قول لحق عدل رحم,الرحمةُ,0
2416,الم لكن مرض رحة حبب كسل ولل مرض فرس صحة جمل نزع رحم انس ولل صحة انس بجب بدر كرم ولل وجب كرم وجد انس حية عنى,الرحمةُ,0
2417,لده شفق ذكر نفس,الرحمةُ,0
2418,رحم رحم فوق,الرحمةُ,0
2419,رحم الل حية,الرحمةُ,0
2420,الل عذب عذب ناس,الرحمةُ,0
2421,رجو تكون سعد رأى فعل شقي,الرحمةُ,0
2422,كرم خلق صدق لسن صدق بأس إعطاء سئل وحس خلق كفأ صنع وصل رحم,الرحمةُ,0
2423,يأس وقت جهل رحم سبق وقت سبق وقت,الرحمةُ,0
2424,رحم جوهر قان خدم قان قسو طغة,الرحمةُ,0
2425,لين قوة رئع اقى قوة نفس لنه ظهر وضع رحم وضع جمل احس جمل لنه ينف غرر عنه وكل شيء قوة كان لشء رحم فهو وضع الل ناس قون هلك,الرحمةُ,0
2426,رحم عمق لحب أصفى أطهر لحب وفي ضحي وفي كار ذات وفي سمح وفي عطف وفي عفو وفي كرم وكل قدر لحب حكم جبل بشر قلل منا قدر رحم,الرحمةُ,0
2427,رحم خلق حضن سجد,الرحمةُ,0
2428,فلس رحم لون شفق عرض وإن نبع رقة دئم دمث خلق شرف سير,الرحمةُ,0
